U238Pb206,errU238Pb206,Pb207Pb206,errPb207Pb206,Group
13.171,0.1367,0.0563,0.0020,I
13.152,0.1442,0.0558,0.0029,I
13.127,0.2100,0.0581,0.0040,I
13.107,0.1860,0.0576,0.0036,I
13.061,0.1203,0.0574,0.0019,I
13.046,0.1224,0.0578,0.0019,I
13.022,0.1409,0.0554,0.0026,I
12.986,0.1412,0.0579,0.0025,I
12.966,0.1154,0.0560,0.0017,I
12.966,0.1169,0.0547,0.0017,I
12.940,0.1370,0.0580,0.0023,I
12.935,0.1109,0.0583,0.0018,I
12.925,0.1221,0.0573,0.0022,I
12.922,0.1248,0.0548,0.0018,I
12.919,0.1010,0.0580,0.0016,I
12.908,0.1251,0.0573,0.0021,I
12.907,0.1307,0.0570,0.0021,I
12.903,0.1151,0.0589,0.0018,I
12.887,0.1257,0.0577,0.0022,I
12.881,0.1195,0.0555,0.0018,I
12.847,0.1436,0.0575,0.0028,I
12.836,0.1253,0.0560,0.0020,I
12.825,0.1144,0.0565,0.0016,I
12.819,0.1033,0.0573,0.0016,I
12.813,0.1137,0.0549,0.0016,I
12.807,0.0972,0.0580,0.0016,I
12.790,0.1136,0.0573,0.0022,I
12.788,0.1077,0.0587,0.0016,I
12.779,0.1103,0.0584,0.0017,I
12.777,0.0962,0.0577,0.0013,I
12.764,0.0997,0.0579,0.0015,I
12.762,0.1212,0.0557,0.0018,I
12.758,0.0975,0.0561,0.0014,I
12.756,0.0965,0.0579,0.0014,I
12.755,0.1043,0.0588,0.0016,I
12.750,0.1052,0.0581,0.0016,I
12.739,0.1101,0.0560,0.0018,I
12.731,0.1142,0.0560,0.0017,I
12.729,0.1419,0.0581,0.0026,I
12.720,0.1295,0.0573,0.0019,I
12.711,0.1410,0.0590,0.0025,I
12.711,0.1147,0.0568,0.0019,I
12.710,0.0999,0.0565,0.0015,I
12.709,0.1296,0.0575,0.0023,I
12.688,0.2118,0.0590,0.0035,I
12.678,0.0996,0.0570,0.0015,I
12.680,0.0989,0.0555,0.0014,I
12.473,0.0870,0.0582,0.0013,I
13.024,0.1129,0.0561,0.0017,I
13.151,0.1382,0.0571,0.0021,P
13.079,0.1155,0.0591,0.0017,P
12.663,0.1859,0.0582,0.0029,X
12.644,0.0910,0.0565,0.0014,X
12.642,0.1436,0.0606,0.0026,X
12.549,0.1287,0.0611,0.0022,X
12.509,0.0867,0.0565,0.0012,X
12.499,0.1118,0.0583,0.0018,X
12.461,0.0838,0.0576,0.0012,X
12.315,0.0997,0.0563,0.0015,X
12.289,0.1747,0.0598,0.0029,X
11.659,0.1953,0.0641,0.0037,X
